custnmbr,custname,match_name_d2,dataset1_locations_list,dataset2_locations_list,overlapping_locations,confidence_score
6D7894A,Épufuca 635 Tamé-Xévazqua Ouazt Inc.,Épufuca 635 Tamé-Xévazqua Ouazt Inc.                             ,"630 rue Saint-Paul Ouest #600, Montréal, QC, H3C1L9","630 rue Saint-Paul Ouest #600, Montréal, QC, H3C 1L9","city, zip, street",100.0
1210613,Gxobex Bhetn Inc.,NO MATCH,"865 York Mills Road, Don Mills, Ontario, M3B1Y5",,,0.0
8A4EC49,Youvuxxa Centre - Ottawa,NO MATCH,"150 Mann Ave., Ottawa, On, K1N8P4",,,0.0
F186A0B,NTCC 1063,NTCC 1063                                                        ,"1 Palace Pier Crt, Etobicoke, ON, M8V3W9","1 Palace Pier Crt, Etobicoke, ON, M8V 3W9","city, zip, street",100.0
C33B60C,Butp Mechanical Ltd.,NO MATCH,"6-29 Gormley Industrial Ave, Gormley, ON, L0H1G0",,,0.0
5CF88BC,WaztTock,NO MATCH,"P.O. Box 28849, Jacksonville, FL, 32226",,,0.0
85CE470,Kambuat Umvazt Ltd. - PoubxaTtaa,Kambuat Umvazt Ltd. - PoubxaTtaa                                 ,"1170 Chemin Aylmer, Gatineau, Québec, J9H7L3","1170 Chemin Aylmer, Gatineau, QU??BEC, J9H 7L3","city, zip, street",100.0
B8425EB,G&T Mechanical Comttectumg Inc.,NO MATCH,"2333 6th Ave., Regina, SK, S4R1B4",,,0.0
D0E0D7F,NTCC 1345  c/o (198 Tapbeth),NO MATCH,"3196 A Yonge Street, Toronto, ON, M4N2L1",,,0.0
878654B,Cebtaut Limited Bettmatzhub *,CEBTAUT LIMITED BETTMATZHUB                                      ,"370 McCowan Road, Toronto, ON, M1J1J3","370 MCCOWAN RD, TORONTO, ON, M1J 1J3","city, zip",100.0
EF324A1,WPK Management,WPK Management                                                   ,"221 Victoria Street, Toronto, ON, M5B1T8","221 Victoria Street, Toronto, ON, M5B 1T8","city, zip, street",100.0
C04B826,Pumfotp Xuzcuo,PUMFOTP-XUZCUO (ONTARIO) INC                                     ,"2 Carson Court, Brampton, Ontario","2 CARSON COURT, BRAMPTON, ONTARIO, L6T 4P8","city, street",77.78
9F3A047,Vutte Amatgy Management Services Um,NO MATCH,"3364 Keele St., Toronto, ON, M3J1M5",,,0.0
00CC9EB,Owam Zoump Ttemzbottetuom Company,Owam Zoump Ttemzbottetuom Company (OZTC)                         ,"1415 1st Avenue West, Owen Sound, Ontario, N4K4K8","1415 1st Avenue West, Owen Sound, ON, N4K 4K8","city, zip, street",92.96
6AA3FF2,Nebxa Xaef Foopz Inc. -,NEBXA XAEF FOOPZ INC.                                            ,"6985 Financial Drive, Mississauga, ON, L5N0A1","6985 FINANCIAL DRIVE, MISSISSAUGA, ONTARIO, L5N 0A1","city, zip, street",100.0
C62D823,8609464 Canada Inc.,NO MATCH,"460 Greber #222, Gatineau, QC, J8T6C7",,,0.0
4796ECC,ChanO,NO MATCH,"520-B St.Charles, Suite 201, Vaudreuil-Dorion, Quebec, J7V7N2",,,0.0
D153006,Maw Ftomtuatz Ebotugumex Residential Corporation,Maw Ftomtuatz Ebotugumex Residential Corporation                 ,"106-23 Lesmill Road, Toronto, ON, M3B3P6","106-23 Lesmill Road, Toronto, ON, M3B 3P6","city, zip, street",100.0
37321DA,Xowthat Taftugatetuom,Xowthat Taftugatetuom                                            ,"2666 W River Rd, Clyde River, PE, C0A1H3","2666 W River Rd, Clyde River, PE, C0A 1H3","city, zip, street",100.0
66DB3EC,ZACOM Group of Conbemuaz,NO MATCH,"609 Main Street, Esterhazy, SK, S0A0X0",,,0.0
24D2147,Zaguum  Nottuz,Zaguum Nottuz                                                    ,"3170 Ridgeway Drive, Unit 3&4, Mississauga, ON, L5L5S7","3170 RIDGEWAY DR, MISSISSAUGA, ON, L5L 5R4","city, street",100.0
F701BF5,VT Mechanical Solutions Inc.,VT MECHANICAL SOLUTIONS INC                                      ,"464 Kingston Road West, Ajax, Ontario, L1T3A3","464 KINGSTON RD W, AJAX, ON, L1T 3A3","city, zip",100.0
4045CFC,PZN Muttutuomex Products Canada Inc.,NO MATCH,"395 Waydom Drive, Ayr, ON, N0B1E0",,,0.0
CF4F8DA,Appa Exnomp Bezta Inc.,NO MATCH,"167 Boul. de L'Aeroport, Gatineau, QC, J8P7G7",,,0.0
941E052,Fexcomwum Property Management,NO MATCH,"1850 Victoria Park Ave, Scarborough, ON, M1R1T1",,,0.0
62156AA,Johmzom Comttox Inc.,JOHMZOM COMTTOXZ LTD                                             ,"PO Box 2012, Milwaukee, WI, 532012012","56 LEEK CRES, RICHMOND HILL, ON, L4B 1H1",,96.77
1F79FFD,Taftugatetuom at Gez Centre-Vuxxa Xtaa,NO MATCH,"26 CH. Industriel, L'Ange-Gardien, QC, J8L0A9",,,0.0
FC31465,CCC #660 CNG Componumuun,CCC #660 CNG Componumuun                                         ,"434 Queen Street, Ottawa, ON, K1R7V7","434 QUEEN ST, OTTAWA, ON, K1R 7V7","city, zip, street",100.0
5B38498,Nettum Btowat of Canada Co.,Nettum Btowat of Canada Co.                                      ,"525 Deerhurst Drive, Brampton, ON, L6T5K3","525 Deerhurst Drive, Brampton, ON, L6T 5K3","city, zip, street",100.0
2FB60A6,EX Property Management Services X  B c/o Ettuz REIT,NO MATCH,"1803 - 415 Yonge Street, Toronto, ON, M5B2E7",,city,0.0
395632E,ZezkTax,ZezkTax                                                          ,"2121 Saskatchewan Dr, Regina, SK, S4P3Y2","2121 Saskatchewan Dr, Regina, SK, S4P 3Y2","city, zip, street",100.0
7903E4A,Zofume Foopz Inc. (Xompom),Zofume Foopz Inc. (Xompom)                                       ,"1226 Trafalgar St., London, Ontario, N5Z1H5","1226 TRAFALGAR ST, LONDON, ON, N5Z 1H5","city, zip, street",100.0
F301B93,Pax Property Management,PAX PROPERTY MANAGEMENT                                          ,"152 St. Patrick Street, Toronto, Ontario, M5T3J9","255 VILLAGE GREEN SQ, SCARBOROUGH, ON, M1S 0L7",,100.0
206CEFB,EZVB INC.,EZVB INC.                                                        ,"Forest Ridge Inc, Toronto, ON, M3B3S6","Forest Ridge Inc, Toronto, ON, M3B 3S6","city, zip, street",100.0
63CCFBC,OMYX Mechanical Limited,OMYX MECHANICAL                                                  ,"214 Wilkinson Road, Brampton, ON, L6T4M4","JOB: PAN AM GAMES ATHLETIC STADIUM, BRAMPTON, ONTARIO, L6T 4M4","city, zip",100.0
8EBDBFC,BZCC 730,NO MATCH,"33 Elm Drive West, Mississauga, Ontario, L5B4M2",,,0.0
0A1D725,Zaguum Anuxa & Fuxz Xtaa,NO MATCH,"845 boul. de la Carriere, Gatineau, QC, J8Y6S5",,,0.0
098D304,Pymenuc Puvatza Supply Inc.,NO MATCH,"2 Wilkinson Road, Unit 5, Brampton, ON, L6T4M3",,,0.0
A1CA402,Camtammuex Building Umvaztnamtz Ltd.,NO MATCH,"3 Spectacle Lake Dr, Halifax, NS, B3B1W8",,,0.0
49F8661,Zezketchawem Haexth Euthotuty - FHHT,NO MATCH,"55 Diefenbaker Dr, Moose Jaw, SK, S6H0G3",,,0.0
7DC496C,Motbatty Tazupamcaz,NO MATCH,"2660 Norberry Cres., Unit 118, Ottawa, ON, K1V6N2",,,0.0
3498CCF,XeZexxa Umvaztnamt Management (Canada) Inc.,NO MATCH,"Estate Management Inc., Markham, ON, L3R0C9",,,0.0
A5A8C16,Naepowvexa Holdings Limited c/o,Naepowvexa Holdings Limited c/o                                  ,"6880 Financial Drive, Mississauga, ON, L5N7Y5","6880 Financial Drive, MISSISSAUGA, ON, L5N 7Y5","city, zip, street",100.0
F2F7FC6,The Canada Xufa Ezzutemca,The Canada Xufa Ezzutemca                                        ,"300-1 City Centre DR, Mississauga, Ontario, L5B1M2","c/o GWL Realty Advisors Inc., Mississauga, ON, L5B 1M2","city, zip",100.0
CC27CD1,UXAT XOPGA,NO MATCH,"111 ILER AVENUE, ESSEX, ON, N8M1T6",,,0.0
667F50B,Tunbat Ctaak Ezzat Management,NO MATCH,"1133 Yonge Street, 2nd Floor, Toronto, ON, M4T2Y7",,,0.0
EC636C5,Bank of Canada/Bemqua Du Canada,NO MATCH,"2250 St. Laurent Blvd., Ottawa, ON, K1G4K1",,,0.0
B56B167,Bhoamux Yomga Street GB Inc.obo Bhoamux,NO MATCH,"c/o Stockton & Bush Property Services Inc., Toronto, ON, M4P2E5",,,0.0
9C9D7AE,2356730 Ontario Ltd. c/o GWX Taexty Epvuzotz Inc.,2344711 Ontario Ltd. c/o GWX Taexty Epvuzotz Inc.                ,"330 University Avenue, Toronto, ON, M5G1R8","330 UNIVERSITY AVENUE, TORONTO, ON, M5G 1R8","city, zip, street",89.74
E2BF5B2,Zunnut Mechanical,NO MATCH,"Box 66, Aurora, Ontario, L4G3H1",,,0.0
4EFBFD6,Wetat Warehouse,Wetat Warehouse                                                  ,"1540 Park Street, Regina, SK, S4N2G1","1540 Park Street, Regina, SK, S4N 2G1","city, zip, street",100.0
2614456,Cuzhnem & Wekafuaxp,NO MATCH,"50 Garland Avenue, Dartmouth, NS, B3B0A3",,,0.0
133F549,X’Etéme du Tockat,NO MATCH,"1950 rue Claude-Gagné, Laval, QC, H7N0E4",,,0.0
BF661FC,Ummocom (Buckatumg),NO MATCH,"57 Notion  Road, Pickering, ON, L1S6K7",,,0.0
11F3864,Effumuty Ctaput Umuom,Effumuty Ctaput Umuom                                            ,"833 - 4th Street, Estevan, SK, S4A0V8","833 4TH ST, ESTEVAN, SK, S4A 0V8","city, zip",100.0
4D4C465,U&NA BAVATEGA COMPANY,NO MATCH,"450 EXPORT BLVD, MISSISSAUGA, ON, L5S2A4",,,0.0
1DF2EEB,110/140 Coxommepa Road Taguomex Inc.,NO MATCH,"200-1737 Woodward Drive, Ottawa, ON, K2C0P9",,,0.0
